Word,Frequency
deus,5847
christus,3633
spiritus,2889
homo,2221
filius,1805
pater,1654
mundus,1574
anima,1451
fides,1338
natura,1190
sanctus,990
sapientia,917
lux,855
dominus,809
mors,803
ratio,778
regnum,769
corpus,756
caritas,713
iustitia,642
gratia,637
amor,626
intellectus,624
gloria,584
peccatum,542
intellectualis,536
audio,508
unio,487
diligo,471
mitto,460
bonus,457
panis,425
angelus,394
morior,366
forma,361
aqua,356
jesus,323
fidelis,322
cor,319
sol,312
bonum,294
gaudium,276
iustus,265
propheta,265
salus,241
fructus,241
potestas,237
testimonium,233
sacramentum,224
petrus,221
bonum,216
discipulus,215
humanitas,208
unitas,207
dilectio,202
donum,200
spes,197
oratio,193
iudico,188
oro,185
patior,166
sanctifico,156
diabolus,153
laetitia,141
stella,133
passio,132
mortuus,131
iudicium,131
immortalitas,130
trinitas,129
bonitas,127
resurrectio,126
poena,123
arbor,122
johannus,117
complico,109
malus,108
pecco,102
adoro,102
honor,99
lignum,96
cresco,95
cor,92
unitas,78
benedico,68
culpa,68
surgo,67
sanctificatio,61
resurgo,58
iudex,52
persecutio,51
benedico,51
complico,47
sacrificium,46
johannus,45
benedictio,42
angelicus,40
unctio,38
bestia,36
conexio,36
affero,32
resuscito,32
resurgo,30
incarnatio,29
patior,29
eucharistia,27
maria,27
maria,24
blasphemia,23
ungo,21
ala,21
contritio,19
resurgo,19
flumen,19
lucifer,18
draco,18
poenitentia,17
venio,16
honoro,16
penna,15
surgo,13
revelo,13
pecco,12
certamen,12
blasphemo,11
unanimis,11
resuscitatio,9
fluxus,9
revelo,8
bonifico,7
resurgo,7
honoro,6
proelium,6
antichristus,5
revelo,5
ficus,5
honoro,5
jesus,4
intellectus,4
resuscito,3
unanimitas,3
jesus,3
petrus,3
blasphemo,3
lucifer,3
ungo,2
angelicus,2
blasphemo,2
bestia,2
mundus,2
complico,2
resuscito,2
pecco,1
diabolus,1
trinitas,1
revelator,1
advenio,1
revelator,1
complico,1
complico,1
resurgo,1
antichristus,1
resuscito,1
ungo,1
unanimis,1
