word,frequency,pos
deus,7250,NOUN
christus,4381,ADJ
spiritus,3726,NOUN
uita,3010,NOUN
homo,2760,NOUN
uerbum,2443,NOUN
filius,2274,NOUN
pater,2072,NOUN
anima,1918,NOUN
mundus,1898,NOUN
fides,1618,NOUN
uirtus,1502,NOUN
natura,1480,NOUN
ueritas,1378,NOUN
debeo,1362,VERB
sanctus,1305,ADJ
uenio,1110,VERB
sapientia,1067,NOUN
dominus,1055,NOUN
mors,1011,NOUN
intellego,997,NOUN
uolo,992,VERB
ratio,982,NOUN
credo,981,VERB
lux,957,NOUN
corpus,952,NOUN
caelum,931,NOUN
primus,925,ADJ
nomen,908,NOUN
regnum,899,NOUN
caritas,897,NOUN
dies,889,NOUN
gratia,882,NOUN
aeternus,882,ADJ
uiuo,813,VERB
uerus,795,ADJ
iustitia,765,NOUN
terra,757,NOUN
amor,754,NOUN
scio,749,VERB
intellectus,743,NOUN
recipio,729,VERB
nosco,727,VERB
magnus,725,ADJ
gloria,705,NOUN
ostendo,699,VERB
opus,680,NOUN
peccatum,673,NOUN
rex,667,NOUN
finis,667,NOUN
unio,662,NOUN
audio,645,VERB
intellectualis,643,ADJ
bonum,639,NOUN
euangelium,637,NOUN
caro,630,NOUN
loquor,615,VERB
lex,597,NOUN
mitto,592,NOUN
diligo,590,VERB
sensibilis,588,ADJ
cognosco,586,VERB
quaero,576,VERB
diuinus,570,ADJ
uia,569,NOUN
bonus,568,ADJ
rationalis,568,ADJ
ecclesia,568,NOUN
locus,566,NOUN
lumen,562,NOUN
tempus,548,NOUN
und,543,NOUN
creatura,542,NOUN
reperio,537,VERB
panis,529,NOUN
creo,527,VERB
uoluntas,526,NOUN
cor,525,NOUN
sequor,510,VERB
considero,505,VERB
oculus,503,NOUN
forma,499,NOUN
motus,493,NOUN
humanus,491,ADJ
morior,487,VERB
imago,480,NOUN
apostolus,479,NOUN
angelus,475,NOUN
moueo,471,VERB
mare,455,NOUN
amo,454,VERB
paulus,446,ADJ
pax,442,NOUN
principium,437,NOUN
semen,436,NOUN
aqua,426,NOUN
oportet,421,VERB
doceo,419,VERB
ignis,413,NOUN
iesus,413,NOUN
pono,412,VERB
liber,411,ADJ
similitudo,406,NOUN
mens,403,NOUN
jesus,399,NOUN
secundus,398,ADJ
fidelis,398,ADJ
desiderium,397,NOUN
uis,394,VERB
ars,394,NOUN
uoco,393,VERB
attendo,390,VERB
tertius,385,ADJ
magister,384,NOUN
scribo,383,VERB
saluator,379,NOUN
medius,377,ADJ
uirgo,377,NOUN
sol,375,NOUN
intro,373,ADJ
nascor,371,VERB
capio,371,VERB
unitas,365,NOUN
domus,361,NOUN
signum,358,NOUN
duco,355,VERB
infinitus,354,ADJ
caelestis,351,ADJ
peruenio,346,VERB
mater,346,NOUN
pars,344,NOUN
doctrina,340,NOUN
maneo,339,VERB
perfectus,338,ADJ
spiritualis,335,ADJ
actus,335,NOUN
fructus,334,NOUN
mulier,333,NOUN
conuerto,330,VERB
gaudium,330,NOUN
concipio,330,VERB
sermo,327,NOUN
propheta,325,NOUN
iustus,323,ADJ
essentia,322,NOUN
attingo,319,VERB
scientia,312,NOUN
testimonium,310,NOUN
princeps,308,NOUN
cibus,302,NOUN
inuenio,301,VERB
species,301,NOUN
salus,298,NOUN
sacramentum,296,NOUN
misericordia,291,NOUN
oboedio,289,VERB
potestas,284,NOUN
ago,283,VERB
ada,283,VERB
peto,281,VERB
ordo,281,NOUN
christianus,280,ADJ
uiuifico,279,VERB
illumino,278,VERB
nomino,275,VERB
discipulus,275,NOUN
donum,275,NOUN
pasco,274,VERB
assequor,273,VERB
sanguis,272,NOUN
mereo,271,NOUN
humanitas,269,NOUN
creator,265,NOUN
absoluo,262,VERB
similis,260,ADJ
petrus,260,NOUN
procedo,258,VERB
sensus,252,NOUN
membrum,251,NOUN
proprius,251,ADJ
perfectio,249,NOUN
pulchritudo,248,NOUN
spes,248,NOUN
manus,248,NOUN
induo,247,VERB
patior,247,VERB
peccator,246,NOUN
dilectio,245,NOUN
iudico,243,VERB
uox,243,NOUN
beatus,242,ADJ
oratio,241,NOUN
accipio,239,VERB
accedo,239,VERB
ascendo,233,VERB
operor,233,VERB
iohannes,233,NOUN
uisio,231,NOUN
tenebra,231,NOUN
necessarius,231,ADJ
cognitio,230,NOUN
efficio,230,VERB
genero,228,VERB
orior,226,VERB
diabolus,225,NOUN
sentio,223,VERB
modus,220,NOUN
lego,219,VERB
puer,218,NOUN
gradus,217,NOUN
teneo,217,VERB
ultimus,216,ADJ
aperio,216,VERB
uir,213,NOUN
immortalis,212,ADJ
eligo,212,VERB
ambulo,211,VERB
oro,209,VERB
desidero,208,VERB
transeo,208,VERB
johan,208,NOUN
descendo,207,VERB
uinum,207,NOUN
uiuus,206,ADJ
appareo,205,VERB
iudicium,205,NOUN
frater,205,NOUN
memoria,204,NOUN
humilitas,202,NOUN
uisibilis,201,ADJ
caput,201,NOUN
fons,199,NOUN
crux,199,NOUN
wir,199,NOUN
complico,197,VERB
pastor,197,NOUN
saeculum,196,NOUN
respicio,196,VERB
plenitudo,196,NOUN
oboedientia,195,NOUN
laetitia,194,NOUN
naturalis,194,ADJ
manifesto,193,VERB
reuelo,192,VERB
plenus,192,ADJ
cado,191,VERB
exemplum,190,NOUN
conuenio,189,VERB
resurrectio,189,NOUN
animal,189,NOUN
proximus,189,ADJ
corporalis,188,ADJ
substantia,188,NOUN
sanctifico,187,VERB
ciuitas,185,NOUN
sto,184,VERB
respondeo,183,VERB
desero,183,NOUN
seruio,183,VERB
felicitas,182,NOUN
lapis,182,NOUN
passio,182,NOUN
textus,181,NOUN
figura,181,NOUN
temporalis,181,ADJ
dimitto,180,VERB
summus,180,ADJ
stella,179,NOUN
libero,179,VERB
ignoro,178,VERB
concupiscentia,178,NOUN
tollo,177,VERB
necesse,177,ADJ
johannus,177,NOUN
nequeo,177,VERB
operatio,176,NOUN
seruus,176,NOUN
populus,175,NOUN
uniuersus,174,ADJ
consummo,173,VERB
perdo,172,VERB
aurum,171,NOUN
instruo,171,VERB
maximus,171,ADJ
seruo,170,VERB
offero,169,VERB
participo,169,VERB
medio,167,VERB
praedico,166,VERB
rego,166,VERB
mortalis,166,NOUN
trinitas,165,NOUN
bonitas,165,NOUN
capax,164,ADJ
mortuus,163,VERB
pes,163,NOUN
is,163,VERB
aduerto,162,VERB
aeternitas,162,NOUN
capitulum,162,NOUN
templum,162,NOUN
notitia,161,NOUN
judaeus,161,NOUN
noto,160,VERB
sponsus,160,NOUN
pateo,158,VERB
quiesco,158,VERB
tenebrae,158,NOUN
experior,158,VERB
augustinus,157,NOUN
malum,157,NOUN
immortalitas,156,NOUN
interior,155,ADJ
deficio,155,VERB
arbor,155,NOUN
poena,155,NOUN
uinco,154,VERB
thesaurus,154,NOUN
purgo,153,VERB
appeto,153,VERB
potentia,152,NOUN
incorruptibilis,152,ADJ
altus,151,ADJ
nouus,150,ADJ
formo,149,VERB
exeo,149,VERB
tango,149,VERB
delectatio,148,NOUN
abscondo,147,ADJ
causa,147,NOUN
os,146,NOUN
quies,146,NOUN
resurgo,146,VERB
ignorantia,145,NOUN
divinus,145,ADJ
habito,145,VERB
calor,145,NOUN
saluo,144,VERB
exprimo,144,VERB
ordino,144,VERB
cresco,144,VERB
benedico,144,VERB
pulcher,143,ADJ
facies,142,NOUN
incipio,142,VERB
cura,142,NOUN
spero,141,VERB
cogito,141,VERB
gaudeo,140,VERB
superbia,140,NOUN
littera,138,NOUN
assumo,138,VERB
diuitia,137,NOUN
sufficio,137,VERB
consequor,137,VERB
inuisibilis,137,ADJ
apprehendo,136,VERB
rogo,136,VERB
gens,135,NOUN
praeceptum,135,VERB
praesens,134,NOUN
contineo,134,VERB
explico,133,VERB
malus,133,NOUN
exalto,133,VERB
nobilis,133,ADJ
separo,133,VERB
eleuo,132,VERB
purus,132,ADJ
scriptura,132,NOUN
matthaeus,132,NOUN
perficio,132,VERB
pecco,132,VERB
promitto,132,VERB
annus,132,NOUN
uns,132,ADJ
communico,131,VERB
possideo,131,VERB
aequalitas,131,NOUN
moyses,130,NOUN
paradisus,130,NOUN
praecedo,129,VERB
adoro,128,VERB
abraha,127,NOUN
sapio,127,ADJ
lignum,127,NOUN
comprehendo,127,VERB
ouis,127,NOUN
persona,127,NOUN
traho,126,VERB
filiatio,126,NOUN
natiuitas,126,NOUN
curo,126,VERB
pauper,125,ADJ
porto,124,VERB
miraculum,124,NOUN
transfero,124,VERB
exspecto,124,VERB
honor,124,NOUN
nolo,123,VERB
corruptibilis,122,ADJ
paro,122,VERB
religio,122,NOUN
communis,121,ADJ
numerus,121,NOUN
superior,121,ADJ
attraho,121,VERB
mons,120,NOUN
infirmitas,119,NOUN
luca,119,NOUN
abraham,119,NOUN
pontifex,119,NOUN
omnipotens,118,ADJ
produco,118,VERB
significo,117,VERB
ostensio,117,NOUN
multitudo,117,NOUN
got,117,VERB
aer,116,NOUN
subicio,116,VERB
contraho,116,VERB
sacerdos,116,NOUN
intueor,115,VERB
initium,115,NOUN
contemplatio,115,NOUN
malignus,115,ADJ
magnes,115,NOUN
sano,114,VERB
fecunditas,114,NOUN
ferrum,114,NOUN
possibilis,113,ADJ
generatio,113,NOUN
mando,113,VERB
eo,113,VERB
probo,112,VERB
sedeo,112,VERB
timeo,112,VERB
cesso,112,VERB
aduentus,112,NOUN
clamo,112,VERB
reuelatio,111,NOUN
subiungo,111,VERB
regio,109,NOUN
exsisto,109,VERB
epistula,109,NOUN
romanus,109,NOUN
placeo,109,VERB
redeo,109,VERB
trado,109,VERB
infernus,108,NOUN
terrenus,108,ADJ
diuinitas,108,NOUN
annuntio,107,VERB
nescio,107,VERB
expono,107,VERB
timor,107,NOUN
color,106,NOUN
intellegentia,106,NOUN
surgo,106,VERB
dignus,106,ADJ
necessitas,106,NOUN
auris,106,NOUN
mysterium,105,NOUN
praesto,105,VERB
sumo,105,VERB
officium,105,NOUN
doctor,105,NOUN
testamentum,105,NOUN
subdo,104,VERB
uetus,104,ADJ
indigeo,103,VERB
lingua,103,NOUN
recedo,103,VERB
maior,102,ADJ
participatio,102,NOUN
genus,102,NOUN
sponsa,102,NOUN
laus,102,NOUN
uarius,101,ADJ
gratus,100,ADJ
reddo,100,VERB
perhibeo,99,VERB
ualeo,99,VERB
ardeo,99,VERB
ligo,99,NOUN
