Word,POS,Frequency
deus,NOUN,5847
christus,ADJ,3633
spiritus,NOUN,2889
uita,NOUN,2480
homo,NOUN,2221
uerbum,NOUN,1948
filius,NOUN,1805
pater,NOUN,1654
mundus,NOUN,1574
anima,NOUN,1451
fides,NOUN,1338
uirtus,NOUN,1293
natura,NOUN,1190
ueritas,NOUN,1156
debeo,VERB,1086
sanctus,ADJ,990
sapientia,NOUN,917
uenio,VERB,868
lux,NOUN,855
intellego,VERB,829
credo,VERB,817
dominus,NOUN,809
mors,NOUN,803
caelum,NOUN,784
ratio,NOUN,778
uolo,VERB,769
regnum,NOUN,769
corpus,NOUN,756
aeternus,ADJ,751
caritas,NOUN,713
scio,VERB,650
uerus,ADJ,646
iustitia,NOUN,642
gratia,NOUN,637
terra,NOUN,635
amor,NOUN,626
intellectus,NOUN,624
uiuo,ADJ,612
nomen,NOUN,599
recipio,VERB,594
gloria,NOUN,584
nosco,VERB,583
magnus,ADJ,576
opus,NOUN,555
ostendo,VERB,554
rex,NOUN,544
finis,NOUN,543
peccatum,NOUN,542
intellectualis,ADJ,536
audio,VERB,508
loquor,VERB,504
lex,NOUN,499
dies,NOUN,495
quaero,VERB,494
ecclesia,NOUN,491
unio,NOUN,487
cognosco,VERB,485
caro,NOUN,481
uia,NOUN,472
diligo,VERB,471
sensibilis,ADJ,470
lumen,NOUN,461
rationalis,ADJ,460
mitto,VERB,460
bonus,ADJ,457
creatura,NOUN,457
reperio,VERB,453
diuinus,ADJ,452
uoluntas,NOUN,438
tempus,NOUN,433
creo,VERB,433
euangelium,NOUN,433
panis,NOUN,425
locus,NOUN,422
humanus,ADJ,422
oculus,NOUN,396
angelus,NOUN,394
apostolus,NOUN,389
amo,VERB,381
mare,NOUN,377
considero,VERB,372
sequor,VERB,369
semen,NOUN,367
paulus,ADJ,367
morior,ADJ,366
motus,NOUN,365
forma,NOUN,361
aqua,NOUN,356
imago,NOUN,353
ars,NOUN,353
moueo,VERB,350
oportet,VERB,350
